Muni_ID,ID,Muni,tot_input,irrig_tot_input,diff_tot_input,gnb,irrig_gnb,diff_gnb,nue,irrig_nue,diff_nue
804,1500804,Castro Marim,58.7,78.9917038,20.2917038,44,64,20,24,17,-7
805,1500805,Faro,120.8,120.8,0,100,100,0,17,17,0
806,1500806,Lagoa,47.106280999,53.558719043,6.452438044,27,33,6,41,36,-5
807,1500807,Lagos,67.611870564,71.639548754,4.02767819,40,44,4,39,37,-2
808,1500808,Loulé,82.460443834,83.47522206,1.014778226,71,72,1,13,13,0
809,1500809,Monchique,69.9,69.9,0,49,49,0,29,29,0
810,1500810,Olhão,123.457412489,123.457412489,0,106,106,0,13,13,0
811,1500811,Portimão,84.4,85.107466063,0.707466062999998,52,53,1,37,36,-1
812,1500812,São Brás de Alportel,37.2,37.245216401,0.0452164010000047,32,32,0,11,11,0
813,1500813,Silves,105.021429798,105.021429798,0,81,81,0,22,22,0
814,1500814,Tavira,75.532637185,78.230745416,2.69810823099999,65,68,3,13,12,-1
815,1500815,Vila do Bispo,37.89901958,37.89901958,0,13,13,0,63,63,0
816,1500816,Vila Real de Santo António,46.4,49.68009182,3.28009182,35,38,3,23,21,-2
